,Terminal(reserved_type_string),Terminal(reserved_type_char),Terminal(initial_block),Terminal(final_block),Terminal(op_logic_greater),Terminal(reserved_type_number),Terminal(end_of_line),Terminal(initial_parenthesis),Terminal(final_parenthesis),Terminal(id),Terminal(op_arit_sum),Terminal(op_attr),Terminal(op_arit_sub),Terminal(reserved_directive_if),Terminal(reserved_directive_else),Terminal(reserved_directive_loop),Terminal(op_logic_smaller),Terminal(reserved_func_read),Terminal(reserved_func_write),Terminal(reserved_func_input),Terminal(reserved_func_print),Terminal(comma),Terminal(reserved_directive_return),Terminal(op_arit_mult),Terminal(op_arit_div),Terminal(op_logic_equal),Terminal(number),Terminal(string),Terminal(char),Terminal(reserved_type_void),Terminal(op_logic_greater_equal),Terminal(op_logic_smaller_equal),Terminal($),Terminal(ε)
NonTerminal(<START>),<SENTENCE>,<SENTENCE>,<SENTENCE>,,,<SENTENCE>,,,,<SENTENCE>,,,,<SENTENCE>,,<SENTENCE>,,<SENTENCE>,<SENTENCE>,<SENTENCE>,<SENTENCE>,,<SENTENCE>,,,,<SENTENCE>,<SENTENCE>,<SENTENCE>,<SENTENCE>,,,ε,
NonTerminal(<DECLARATION>),<TYPE> id <ATTRIBUTION_DECLARATION>,<TYPE> id <ATTRIBUTION_DECLARATION>,,,,<TYPE> id <ATTRIBUTION_DECLARATION>,,,,,,,,,,,,,,,,,,,,,,,,<TYPE> id <ATTRIBUTION_DECLARATION>,,,,
NonTerminal(<SENTENCE>),<SENTENCE_BODY> <SENTENCE>,<SENTENCE_BODY> <SENTENCE>,<SENTENCE_BODY> <SENTENCE>,ε,,<SENTENCE_BODY> <SENTENCE>,,,,<SENTENCE_BODY> <SENTENCE>,,,,<SENTENCE_BODY> <SENTENCE>,,<SENTENCE_BODY> <SENTENCE>,,<SENTENCE_BODY> <SENTENCE>,<SENTENCE_BODY> <SENTENCE>,<SENTENCE_BODY> <SENTENCE>,<SENTENCE_BODY> <SENTENCE>,,<SENTENCE_BODY> <SENTENCE>,,,,<SENTENCE_BODY> <SENTENCE>,<SENTENCE_BODY> <SENTENCE>,<SENTENCE_BODY> <SENTENCE>,<SENTENCE_BODY> <SENTENCE>,,,ε,ε
NonTerminal(<EXPRESSION>),,,,,,,,initial_parenthesis <OP'> final_parenthesis <OPERATION>,,<ID> <OPERATION>,,,,,,,,<FUNCTION_CALL> <OPERATION>,<FUNCTION_CALL> <OPERATION>,<FUNCTION_CALL> <OPERATION>,<FUNCTION_CALL> <OPERATION>,,,,,,number <OPERATION>,string <OPERATION>,char <OPERATION>,,,,,
NonTerminal(<BLOCK>),,,initial_block <SENTENCE> final_block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NonTerminal(<TYPE>),reserved_type_string,reserved_type_char,,,,reserved_type_number,,,,,,,,,,,,,,,,,,,,,,,,reserved_type_void,,,,
NonTerminal(<PARAMETERS>),,,,,,,,,ε,,,,,,,,,,,,,<ADDITIONAL_PARAMETERS>,,,,,,,,,,,,
NonTerminal(<PARAMETER>),<TYPE> id,<TYPE> id,,,,<TYPE> id,,,,,,,,,,,,,,,,,,,,,,,,<TYPE> id,,,,
NonTerminal(<FUNCTION_CALL>),,,,,,,,,,,,,,,,,,<CALLER> <FUNCTION_CALL'>,<CALLER> <FUNCTION_CALL'>,<CALLER> <FUNCTION_CALL'>,<CALLER> <FUNCTION_CALL'>,,,,,,,,,,,,,
NonTerminal(<ADDITIONAL_PARAMETERS>),,,,,,,,,ε,,,,,,,,,,,,,comma <PARAMETER> <ADDITIONAL_PARAMETERS>,,,,,,,,,,,,ε
